Date,Year,Quarter,Month,Month_Number,Month_Name,Month_Short,Year_Month,Day_of_Month,Day_Name,Day_of_Week,Is_Weekend
2020-01-01,2020,Q1,1,1,January,Jan,2020-01,1,Wednesday,3,Weekday
2020-01-02,2020,Q1,1,1,January,Jan,2020-01,2,Thursday,4,Weekday
2020-01-03,2020,Q1,1,1,January,Jan,2020-01,3,Friday,5,Weekday
2020-01-04,2020,Q1,1,1,January,Jan,2020-01,4,Saturday,6,Weekend
2020-01-05,2020,Q1,1,1,January,Jan,2020-01,5,Sunday,7,Weekend
2020-01-06,2020,Q1,1,1,January,Jan,2020-01,6,Monday,1,Weekday
2020-01-07,2020,Q1,1,1,January,Jan,2020-01,7,Tuesday,2,Weekday
2020-01-08,2020,Q1,1,1,January,Jan,2020-01,8,Wednesday,3,Weekday
2020-01-09,2020,Q1,1,1,January,Jan,2020-01,9,Thursday,4,Weekday
2020-01-10,2020,Q1,1,1,January,Jan,2020-01,10,Friday,5,Weekday
2020-01-11,2020,Q1,1,1,January,Jan,2020-01,11,Saturday,6,Weekend
2020-01-12,2020,Q1,1,1,January,Jan,2020-01,12,Sunday,7,Weekend
2020-01-13,2020,Q1,1,1,January,Jan,2020-01,13,Monday,1,Weekday
2020-01-14,2020,Q1,1,1,January,Jan,2020-01,14,Tuesday,2,Weekday
2020-01-15,2020,Q1,1,1,January,Jan,2020-01,15,Wednesday,3,Weekday
2020-01-16,2020,Q1,1,1,January,Jan,2020-01,16,Thursday,4,Weekday
2020-01-17,2020,Q1,1,1,January,Jan,2020-01,17,Friday,5,Weekday
2020-01-18,2020,Q1,1,1,January,Jan,2020-01,18,Saturday,6,Weekend
2020-01-19,2020,Q1,1,1,January,Jan,2020-01,19,Sunday,7,Weekend
2020-01-20,2020,Q1,1,1,January,Jan,2020-01,20,Monday,1,Weekday
2020-01-21,2020,Q1,1,1,January,Jan,2020-01,21,Tuesday,2,Weekday
2020-01-22,2020,Q1,1,1,January,Jan,2020-01,22,Wednesday,3,Weekday
2020-01-23,2020,Q1,1,1,January,Jan,2020-01,23,Thursday,4,Weekday
2020-01-24,2020,Q1,1,1,January,Jan,2020-01,24,Friday,5,Weekday
2020-01-25,2020,Q1,1,1,January,Jan,2020-01,25,Saturday,6,Weekend
2020-01-26,2020,Q1,1,1,January,Jan,2020-01,26,Sunday,7,Weekend
2020-01-27,2020,Q1,1,1,January,Jan,2020-01,27,Monday,1,Weekday
2020-01-28,2020,Q1,1,1,January,Jan,2020-01,28,Tuesday,2,Weekday
2020-01-29,2020,Q1,1,1,January,Jan,2020-01,29,Wednesday,3,Weekday
2020-01-30,2020,Q1,1,1,January,Jan,2020-01,30,Thursday,4,Weekday
2020-01-31,2020,Q1,1,1,January,Jan,2020-01,31,Friday,5,Weekday
2020-02-01,2020,Q1,2,2,February,Feb,2020-02,1,Saturday,6,Weekend
2020-02-02,2020,Q1,2,2,February,Feb,2020-02,2,Sunday,7,Weekend
2020-02-03,2020,Q1,2,2,February,Feb,2020-02,3,Monday,1,Weekday
2020-02-04,2020,Q1,2,2,February,Feb,2020-02,4,Tuesday,2,Weekday
2020-02-05,2020,Q1,2,2,February,Feb,2020-02,5,Wednesday,3,Weekday
2020-02-06,2020,Q1,2,2,February,Feb,2020-02,6,Thursday,4,Weekday
2020-02-07,2020,Q1,2,2,February,Feb,2020-02,7,Friday,5,Weekday
2020-02-08,2020,Q1,2,2,February,Feb,2020-02,8,Saturday,6,Weekend
2020-02-09,2020,Q1,2,2,February,Feb,2020-02,9,Sunday,7,Weekend
2020-02-10,2020,Q1,2,2,February,Feb,2020-02,10,Monday,1,Weekday
