Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Purpose,Loan_Application_Date,Approval_Date,Loan_Amount,Loan_Amount_Category,Interest_Rate,Loan_Tenure_Months,Monthly_Installment,Loan_Status,Loan_Approval_Flag,Risk_Category,Default_Probability,Default_Flag,Outstanding_Debt,Debt_to_Income_Ratio,Debt_to_Income_Category,Estimated_Annual_Interest
LN-102301,CUST-12301,BR-002,Auto Loan,New Vehicle,2022-06-17,,32900.0,Medium ($25k-$75k),6.36,60,641.57,Rejected,0,Low Risk,0.008,0,12158.32,0.1604,Low (<20%),2092.44
LN-115406,CUST-25406,BR-006,Home Loan,Home Purchase,2022-03-30,2022-04-09,362500.0,Jumbo (>=$200k),6.65,360,2327.12,Approved,1,Low Risk,0.0163,0,32162.25,0.3477,Moderate (20-35%),24106.25
LN-104149,CUST-14149,BR-011,Business Loan,Business Expansion,2022-05-26,2022-06-07,32400.0,Medium ($25k-$75k),9.62,36,1039.69,Approved,1,Medium Risk,0.0611,0,13192.4,0.4472,Manageable (36-49%),3116.88
LN-106418,CUST-16418,BR-006,Personal Loan,Home Renovation,2023-03-26,2023-04-08,14200.0,Small ($10k-$25k),11.28,36,466.77,Approved,1,Low Risk,0.0237,0,21073.06,0.2806,Moderate (20-35%),1601.76
LN-109164,CUST-19164,BR-009,Business Loan,Working Capital,2022-01-17,2022-01-29,141700.0,Large ($75k-$200k),8.82,36,4494.16,Approved,1,Low Risk,0.0411,0,21906.35,0.2215,Moderate (20-35%),12497.94
LN-109098,CUST-19098,BR-005,Home Loan,Home Purchase,2021-03-03,2021-03-15,396700.0,Jumbo (>=$200k),4.34,360,1972.48,Approved,1,Low Risk,0.008,0,31395.6,0.2295,Moderate (20-35%),17216.78
LN-117624,CUST-27624,BR-009,Education Loan,Undergraduate Studies,2024-01-19,2024-01-24,62000.0,Medium ($25k-$75k),7.23,120,727.24,Approved,1,Low Risk,0.0255,0,35025.45,0.2931,Moderate (20-35%),4482.6
LN-104187,CUST-14187,BR-008,Personal Loan,Medical Expenses,2022-06-13,,12100.0,Small ($10k-$25k),13.25,12,1082.16,Pending,0,High Risk,0.1734,0,26521.1,0.4694,Manageable (36-49%),1603.25
LN-110505,CUST-20505,BR-008,Personal Loan,Debt Consolidation,2021-07-14,,12300.0,Small ($10k-$25k),11.85,48,323.0,Rejected,0,Medium Risk,0.0539,0,20223.36,0.3511,Manageable (36-49%),1457.55
LN-112880,CUST-22880,BR-006,Home Loan,Home Purchase,2024-01-21,2024-02-01,508500.0,Jumbo (>=$200k),4.4,360,2546.37,Approved,1,Low Risk,0.008,0,18893.44,0.1114,Low (<20%),22374.0
